sep=,
To: 2020-06-26,From: 2020-03-28,Daterange: 2020-05-27 – 2020-06-26,Ext_id: 1211118856
Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Tags,Categories,Notes,Likes,Dislikes,Link,Permalink,AF Link
"2020-06-26 18:38:58","1211118856","Parchisi STAR","us","1.41","Alexander@S","3","Para matar el estrés","Esta bueno el juego solo que aveces se lleva mucho tiempo",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6125100692","https://appfollow.io/app/364011/review/223541780","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223541780"
"2020-06-26 18:35:17","1211118856","Parchisi STAR","es","1.41","Bartmita","5","Entretenido","Entretenido",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6125091254","https://appfollow.io/app/364011/review/223541775","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223541775"
"2020-06-26 17:50:23","1211118856","Parchisi STAR","us","1.41","scniugc","5","H","Gjhgf",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6124973741","https://appfollow.io/app/364011/review/223541779","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223541779"
"2020-06-26 17:46:24","1211118856","Parchisi STAR","us","1.41","lourdes 58","4","Very funny","Tris si a great App",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6124963176","https://appfollow.io/app/364011/review/223541778","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223541778"
"2020-06-26 12:28:18","1211118856","Parchisi STAR","es","1.41","aliastuputadreprchisdemierda","1","JUEGO DE MIERDAAAA","Por q no se puede poner cero por q lo pondría este juego es injusto hace un mes que por lo menos que no gano hace todo lo posible para perder me ha creado una ENFERMEDAD llego a pensar q contra los que juego son maquinas echas para ganar",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6123990835","https://appfollow.io/app/364011/review/223518292","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223518292"
"2020-06-26 11:36:56","1211118856","Parchisi STAR","us","1.41","Lav ♥️","1","Rigged ..","The game is rigged, plain and simple !!",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6123829204","https://appfollow.io/app/364011/review/223518275","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223518275"
"2020-06-26 09:25:53","1211118856","Parchisi STAR","es","1.41","nicole cruz loor","5","Me encanta","Es lo mejor",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6123457521","https://appfollow.io/app/364011/review/223500920","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223500920"
"2020-06-26 04:53:37","1211118856","Parchisi STAR","us","1.41","Dartorrez","5","😛😛😛","😛😛😛",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6122740709","https://appfollow.io/app/364011/review/221972535","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=221972535"
"2020-06-26 03:20:02","1211118856","Parchisi STAR","us","1.41","Geiby B","4","Great for families","i can play with family who i only see twice a year",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6122496489","https://appfollow.io/app/364011/review/223480966","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223480966"
"2020-06-26 00:56:54","1211118856","Parchisi STAR","us","1.41","jose el perron","3","Game is definitely rigged","Rigged as hell",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6122091285","https://appfollow.io/app/364011/review/223457816","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223457816"
"2020-06-25 23:35:50","1211118856","Parchisi STAR","es","1.41","american_mood_","1","Estoy pegando el aire","Por que me mueve las fichas que quiere y cuando quiere. esto es más subrealista que el embarazo de davida no he ganado ni una 🤡🇪🇸👽🌯🐄👩‍🚀✨💖🇷🇺 a y por que siempre tengo que ser el rojo yo quiero ser el color nckifkdkndnj entendéis esa palabra igual que yo el juego",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1211118856/activity/ios/ratingsResponses?reviewId=6121882488","https://appfollow.io/app/364011/review/223457815","https://watch.appfollow.io/apps/untitled-collection/reviews/343530?review_id=223457815"
